plating_rowdata_index,plating_line_index,plating_line_element_index,plating_rowdata_date,plating_output_v,plating_output_a,plating_input_v,plating_input_a,plating_internal_temperature,plating_external_temperature,plating_external_humidity
231,1,1,"2021-07-14 11:55:27",3.6,4.5,0,0,0,0,0
232,1,1,"2021-07-14 11:55:28",3.6,4.5,0,0,0,0,0
233,1,1,"2021-07-14 11:55:28",3.6,4.5,0,0,0,0,0
234,1,1,"2021-07-14 11:55:28",3.6,4.5,0,0,0,0,0
235,1,1,"2021-07-14 11:55:29",3.6,4.5,0,0,0,0,0
236,1,1,"2021-07-14 11:55:29",3.6,4.5,0,0,0,0,0
237,1,1,"2021-07-14 11:55:30",3.6,4.5,0,0,0,0,0
238,1,1,"2021-07-14 11:55:30",3.6,4.5,0,0,0,0,0
239,1,1,"2021-07-14 11:55:30",3.5,4.5,0,0,0,0,0
240,1,1,"2021-07-14 11:55:31",3.6,4.5,0,0,0,0,0
241,1,1,"2021-07-14 11:55:31",3.5,4.5,0,0,0,0,0
242,1,1,"2021-07-14 11:55:32",3.5,4.5,0,0,0,0,0
243,1,1,"2021-07-14 11:55:32",3.5,4.5,0,0,0,0,0
244,1,1,"2021-07-14 11:55:32",3.5,4.5,0,0,0,0,0
245,1,1,"2021-07-14 11:55:33",3.5,4.5,0,0,0,0,0
246,1,1,"2021-07-14 11:55:33",3.5,4.5,0,0,0,0,0
247,1,1,"2021-07-14 11:55:34",3.6,4.5,0,0,0,0,0
248,1,1,"2021-07-14 11:55:34",3.5,4.5,0,0,0,0,0
249,1,1,"2021-07-14 11:55:34",3.6,4.5,0,0,0,0,0
250,1,1,"2021-07-14 11:55:35",3.5,4.5,0,0,0,0,0
251,1,1,"2021-07-14 11:55:35",3.5,4.5,0,0,0,0,0
252,1,1,"2021-07-14 11:55:36",3.5,4.5,0,0,0,0,0
253,1,1,"2021-07-14 11:55:36",3.5,4.5,0,0,0,0,0
254,1,1,"2021-07-14 11:55:37",3.6,4.5,0,0,0,0,0
255,1,1,"2021-07-14 11:55:37",3.5,4.5,0,0,0,0,0
256,1,1,"2021-07-14 11:55:37",3.5,4.5,0,0,0,0,0
257,1,1,"2021-07-14 11:55:38",3.5,4.5,0,0,0,0,0
258,1,1,"2021-07-14 11:55:38",3.5,4.5,0,0,0,0,0
259,1,1,"2021-07-14 11:55:39",3.6,4.5,0,0,0,0,0
260,1,1,"2021-07-14 11:55:39",3.6,4.5,0,0,0,0,0
261,1,1,"2021-07-14 11:55:39",3.6,4.5,0,0,0,0,0
262,1,1,"2021-07-14 11:55:40",3.6,4.5,0,0,0,0,0
263,1,1,"2021-07-14 11:55:40",3.6,4.5,0,0,0,0,0
264,1,1,"2021-07-14 11:55:41",3.6,4.5,0,0,0,0,0
265,1,1,"2021-07-14 11:55:41",3.6,4.5,0,0,0,0,0
266,1,1,"2021-07-14 11:55:41",3.6,4.5,0,0,0,0,0
267,1,1,"2021-07-14 11:55:42",3.5,4.5,0,0,0,0,0
268,1,1,"2021-07-14 11:55:42",3.6,4.5,0,0,0,0,0
269,1,1,"2021-07-14 11:55:43",3.5,4.5,0,0,0,0,0
270,1,1,"2021-07-14 11:55:43",3.5,4.5,0,0,0,0,0
271,1,1,"2021-07-14 11:55:43",3.5,4.5,0,0,0,0,0
272,1,1,"2021-07-14 11:55:44",3.5,4.5,0,0,0,0,0
273,1,1,"2021-07-14 11:55:44",3.5,4.5,0,0,0,0,0
274,1,1,"2021-07-14 11:55:45",3.5,4.5,0,0,0,0,0
275,1,1,"2021-07-14 11:55:45",3.5,4.5,0,0,0,0,0
276,1,1,"2021-07-14 11:55:45",3.6,4.5,0,0,0,0,0
277,1,1,"2021-07-14 11:55:46",3.6,4.5,0,0,0,0,0
278,1,1,"2021-07-14 11:55:46",3.5,4.5,0,0,0,0,0
279,1,1,"2021-07-14 11:55:47",3.6,4.5,0,0,0,0,0
280,1,1,"2021-07-14 11:55:47",3.5,4.5,0,0,0,0,0
281,1,1,"2021-07-14 11:55:47",3.5,4.5,0,0,0,0,0
282,1,1,"2021-07-14 11:55:48",3.6,4.5,0,0,0,0,0
283,1,1,"2021-07-14 11:55:48",3.5,4.5,0,0,0,0,0
284,1,1,"2021-07-14 11:55:49",3.5,4.5,0,0,0,0,0
285,1,1,"2021-07-14 11:55:49",3.6,4.5,0,0,0,0,0
286,1,1,"2021-07-14 11:55:49",3.6,4.5,0,0,0,0,0
287,1,1,"2021-07-14 11:55:50",3.5,4.5,0,0,0,0,0
288,1,1,"2021-07-14 11:55:50",3.6,4.5,0,0,0,0,0
289,1,1,"2021-07-14 11:55:51",3.6,4.5,0,0,0,0,0
290,1,1,"2021-07-14 11:55:51",3.6,4.5,0,0,0,0,0
291,1,1,"2021-07-14 11:55:51",3.6,4.5,0,0,0,0,0
292,1,1,"2021-07-14 11:55:52",3.6,4.5,0,0,0,0,0
293,1,1,"2021-07-14 11:55:52",3.6,4.5,0,0,0,0,0
294,1,1,"2021-07-14 11:55:53",3.6,4.5,0,0,0,0,0
295,1,1,"2021-07-14 11:55:53",3.6,4.5,0,0,0,0,0
296,1,1,"2021-07-14 11:55:53",3.6,4.5,0,0,0,0,0
297,1,1,"2021-07-14 11:55:54",3.6,4.5,0,0,0,0,0
298,1,1,"2021-07-14 11:55:54",3.6,4.5,0,0,0,0,0
299,1,1,"2021-07-14 11:55:55",3.6,4.5,0,0,0,0,0
300,1,1,"2021-07-14 11:55:55",3.6,4.5,0,0,0,0,0
301,1,1,"2021-07-14 11:55:55",3.5,4.5,0,0,0,0,0
302,1,1,"2021-07-14 11:55:56",3.5,4.5,0,0,0,0,0
303,1,1,"2021-07-14 11:55:56",3.5,4.5,0,0,0,0,0
304,1,1,"2021-07-14 11:55:57",3.5,4.5,0,0,0,0,0
305,1,1,"2021-07-14 11:55:57",3.5,4.5,0,0,0,0,0
306,1,1,"2021-07-14 11:55:57",3.5,4.5,0,0,0,0,0
307,1,1,"2021-07-14 11:55:58",3.5,4.5,0,0,0,0,0
308,1,1,"2021-07-14 11:55:58",3.5,4.5,0,0,0,0,0
309,1,1,"2021-07-14 11:55:59",3.6,4.5,0,0,0,0,0
310,1,1,"2021-07-14 11:55:59",3.6,4.5,0,0,0,0,0
311,1,1,"2021-07-14 11:55:59",3.6,4.5,0,0,0,0,0
312,1,1,"2021-07-14 11:56:00",3.5,4.5,0,0,0,0,0
313,1,1,"2021-07-14 11:56:00",3.5,4.5,0,0,0,0,0
314,1,1,"2021-07-14 11:56:01",3.5,4.5,0,0,0,0,0
315,1,1,"2021-07-14 11:56:01",3.5,4.5,0,0,0,0,0
316,1,1,"2021-07-14 11:56:01",3.5,4.5,0,0,0,0,0
317,1,1,"2021-07-14 11:56:02",3.5,4.5,0,0,0,0,0
318,1,1,"2021-07-14 11:56:02",3.5,4.5,0,0,0,0,0
319,1,1,"2021-07-14 11:56:03",3.5,4.5,0,0,0,0,0
320,1,1,"2021-07-14 11:56:03",3.5,4.5,0,0,0,0,0
321,1,1,"2021-07-14 11:56:03",3.5,4.5,0,0,0,0,0
322,1,1,"2021-07-14 11:56:04",3.5,4.5,0,0,0,0,0
323,1,1,"2021-07-14 11:56:04",3.5,4.5,0,0,0,0,0
324,1,1,"2021-07-14 11:56:05",3.5,4.5,0,0,0,0,0
325,1,1,"2021-07-14 11:56:05",3.5,4.5,0,0,0,0,0
326,1,1,"2021-07-14 11:56:05",3.5,4.5,0,0,0,0,0
327,1,1,"2021-07-14 11:56:06",3.5,4.5,0,0,0,0,0
328,1,1,"2021-07-14 11:56:06",3.5,4.5,0,0,0,0,0
329,1,1,"2021-07-14 11:56:07",3.5,4.5,0,0,0,0,0
330,1,1,"2021-07-14 11:56:07",3.5,4.5,0,0,0,0,0
331,1,1,"2021-07-14 11:56:07",3.5,4.5,0,0,0,0,0
332,1,1,"2021-07-14 11:56:08",3.5,4.5,0,0,0,0,0
333,1,1,"2021-07-14 11:56:08",3.5,4.5,0,0,0,0,0
334,1,1,"2021-07-14 11:56:09",3.5,4.5,0,0,0,0,0
335,1,1,"2021-07-14 11:56:09",3.5,4.5,0,0,0,0,0
336,1,1,"2021-07-14 11:56:09",3.5,4.5,0,0,0,0,0
337,1,1,"2021-07-14 11:56:10",3.5,4.5,0,0,0,0,0
338,1,1,"2021-07-14 11:56:10",3.5,4.5,0,0,0,0,0
339,1,1,"2021-07-14 11:56:11",3.5,4.5,0,0,0,0,0
340,1,1,"2021-07-14 11:56:11",3.6,4.5,0,0,0,0,0
341,1,1,"2021-07-14 11:56:11",3.5,4.5,0,0,0,0,0
342,1,1,"2021-07-14 11:56:12",3.5,4.5,0,0,0,0,0
343,1,1,"2021-07-14 11:56:12",3.5,4.5,0,0,0,0,0
344,1,1,"2021-07-14 11:56:13",3.5,4.5,0,0,0,0,0
345,1,1,"2021-07-14 11:56:13",3.5,4.5,0,0,0,0,0
346,1,1,"2021-07-14 11:56:13",3.5,4.5,0,0,0,0,0
347,1,1,"2021-07-14 11:56:14",3.5,4.5,0,0,0,0,0
348,1,1,"2021-07-14 11:56:14",3.6,4.5,0,0,0,0,0
349,1,1,"2021-07-14 11:56:15",3.6,4.5,0,0,0,0,0
350,1,1,"2021-07-14 11:56:15",3.5,4.5,0,0,0,0,0
351,1,1,"2021-07-14 11:56:15",3.5,4.5,0,0,0,0,0
352,1,1,"2021-07-14 11:56:16",3.6,4.5,0,0,0,0,0
353,1,1,"2021-07-14 11:56:16",3.6,4.5,0,0,0,0,0
354,1,1,"2021-07-14 11:56:17",3.6,4.5,0,0,0,0,0
355,1,1,"2021-07-14 11:56:17",3.6,4.5,0,0,0,0,0
356,1,1,"2021-07-14 11:56:18",3.6,4.5,0,0,0,0,0
